Name,Date,Rating,Review,Company Feedback
"Calvin Whitby","Oct 14, 2022",1,"Had an estimator come out on August 4 to measure and was told the replacement pane of glass wasn’t in stock and that it needed to be ordered and it would take 3 to 4 weeks for it to come in. It’s now almost mid October and not a word from this company. But no worries, I hired another company and the glass replacement will be done tomorrow. Thanks for the unprofessionalism, it’s greatly appreciated. I have to respond to the response given from this company regarding a 50% percent deposit. When the guy (don't know his name) completed measuring, I walked with him to the front of my home because he needed to point out another issue I had with a window located on the 3rd floor of my home, and before he left I asked him did he need any type of deposit since he had to order the glass. HE SAID NO! Negative: Responsiveness, Professionalism","The Window Hospital Inc., Owner, Oct 14, 2022: Thank you for the feedback, Calvin. I’m sorry to hear that you had to wait longer than expected for your sliding glass door panel. Our goal is always to get customers glass done as quickly as possible and we are always working to make our process even more efficient. Upon further investigation into this we found the deposit of 50% was never paid because it appears the invoice was never received. In hindsight we should’ve followed up with you once we didn’t hear anything back but we try to avoid a high-pressure sales experience and never want a customer to feel pressured. Since the invoice wasn’t sent/received we never ordered the customer tempered panel. - Josh (owner)"
"Nicholas Bucholdt","Sep 30, 2022",5,"10/10 fantastic experience replacing a sliding glass door. Hassel free and very professional, and highly recommended!",""
"Derek Woods","Sep 20, 2022",5,"I called the window hospital and after leaving a message with some details and sending some pictures, I had an appointment the next day for measurements. What makes it even better is that within 24 hrs of contact the window was replaced and as good as new. I cannot belive how quick and how great it is! Thank you so much. Best customer service too!!! Positive: Responsiveness, Quality, Professionalism, Value",""
"Cirava Hermod","Jul 29, 2022",5,"",""
"Jerrell Lofton","Jul 8, 2022",5,"My window was fixed very quickly. He was very professional and did a great job! Positive: Quality, Professionalism",""
"GS Williams","May 18, 2022",5,"I needed work done in my home to be completed within a day or two. Twenty minutes after sending in pictures of the transom windows I needed replaced, I received a call and an estimate. An hour after that a representative (Tra)showed up and began work. Tra did a great job. He was professional, friendly and personable. I would use and recommend this company again. Positive: Responsiveness, Quality, Professionalism, Value",""
"David Monti","May 3, 2022",5,"The Window Hospital provide excellent timely service and more importantly follow up service. The process was simple and not time consuming at all. I would definitely recommend this company to others in need of window repair or replacement services. Positive: Quality, Professionalism",""
"tra blake","Apr 29, 2022",5,"View full review",""
"John Kushik","Dec 1, 2021",5,"View full review",""
"Ram Shankar","Dec 1, 2021",5,"View full review",""
"Jason Murphy","Nov 29, 2021",5,"View full review",""
"Charles Johnson","Nov 24, 2021",5,"Josh (the guy) is friendly and fast! The project was small but I appreciate that he treated it as if it was just as important as the big jobs. Great follow up and we discussed future projects as well. Positive: Responsiveness, Quality, Professionalism",""
"Tina Downing","Nov 19, 2021",5,"Josh responded quickly and worked around my schedule to get my broken window replaced. The price is definitely one of the lowest I was quoted and the service was professional and thorough.",""
"Nicholas Pylant","Nov 18, 2021",5,"Josh was very prompt and did a great job fixing a few windows in my historic home. Will define you use The Window Hospital again! Positive: Responsiveness, Quality, Professionalism, Value",""
"sio2_y silicondioxide_aka_sand","Oct 28, 2021",5,"The window installer was absolutely amazing. He came one day measures, out the next day to install- took him 10 minutes top. I am so impressed. He was professional, responsive and did an excellent job. I’m selling my house - wish you guys would branch there! I highly recommend this business. Positive: Responsiveness, Quality, Professionalism, Value",""
"Dawn C.","Jan 12, 2021",5,"Dawn Comer I am so pleased with the job Josh did replacing my full view glass in my exterior patio door. I initially called another company which came out, took measurements and called back to say they couldn’t find a supplier with a glass that would fit my door however they would be able to sell me a new door. I didn’t want a new door. I wanted my current door fixed. I called The Window Hospital and spoke with Josh, who came out and took measurements of the door. Within a few hours Josh replaced the glass in my door. Josh is pleasant and professional and does amazing work. He comes highly recommended. Positive: Responsiveness, Punctuality, Quality, Professionalism, Value Services: Glass installation",""
"Tina Snow","Oct 8, 2020",5,"Had a window repaired in my kitchen came out early in the morning took measurements and came back later in the afternoon and fixed the window. Very fast service and am pleased with the company. Positive: Responsiveness, Punctuality, Quality, Professionalism, Value Services: Window repair",""
"Tinga Mastrelli","Sep 16, 2020",5,"Replaced the shattered window on my screened/windowed porch. Took a bit of extra time to get the glass due to covid-19 but worth the wait Josh also helped by repairing the hardware on the door. Thanks so much for coming so far.",""
"Mark Alley","Sep 14, 2020",5,"Had to repair a third floor window after a home inspection by the buyers. Nobody wanted to do it because if the height and it was a specialty window. Contacted Josh with the Window Hospital sent him a photo and he gave me a fair price very quickly. He repaired the window fairly quickly and it looks great. Would recommend him to anyone. Positive: Responsiveness, Punctuality, Quality Services: Window repair",""
"Karen Mitchell","Sep 2, 2020",5,"I work for a contractor and found our usual window subs booked out for weeks and was given Josh’s number. He was able to give me an estimate based off a picture, and came out to measure within a day or two, with the install the following day. He has been professional and punctual, which is a must with many of our window issues being addendum work for closings. We are very pleased with his services. Positive: Responsiveness, Punctuality, Quality, Professionalism, Value Services: Glass installation, Window repair",""
"Christle Anderson","Aug 31, 2020",5,"View full review",""
"maria mendez","Aug 31, 2020",5,"We just moved to Chesterfield and had a broken window. Since we just moved in from NY, we did not know anybody who could fix it. I went online and called a couple of companies, but no one was able to come anytime soon. I finally found the window hospital and immediately they contact me with Josh. He asked me to send him a picture of the window and he Immediately gave me an estimated price. Later on he came by took measurements and the next day my new glass was installed. Josh is very professional and a really nice guy. We highly recommend his company and we are definitely going to hire him again. Positive: Responsiveness, Punctuality, Quality, Professionalism, Value Services: Glass installation",""
"Rob Isaacs","Aug 29, 2020",5,"Josh was great! I got an immediate response with a quote the same day! I called several other window companies to help with a fixed picture window that had a broken seal and needed to be replaced. None of them wanted to deal with such a 'small' job or just didn't call me back. Josh came out when he said he would and delivered and installed the new window when he said he would...very reliable! He did a fantastic job and we couldn’t be more pleased with his work. Would highly recommend The Window Hospital! Positive: Responsiveness, Punctuality, Quality, Professionalism, Value Services: Window repair",""
"Nehemiah Jordan","Aug 25, 2020",5,"View full review",""
"Robin Whelpley","Aug 24, 2020",5,"View full review",""
"conrad kirk","Aug 24, 2020",5,"View full review",""
"Wayne Donaldson","Aug 19, 2020",5,"Top notch customer service and support. Had to repair 4 windows and they were delivered and installed as agreed. Highly recommend repair vs cost of replacement of windows. Cost very reasonable as well. Positive: Responsiveness, Punctuality, Quality, Professionalism, Value Services: Window repair",""
"Lucian Laurie Jr","Aug 15, 2020",5,"We had discrepancies related to windows on a home inspection. Josh was recommended by our realtor, and he did a fantastic job. One visit to assess the issues, and a second to repair them. He was careful, knowledgeable, and most of all, fast. I couldn’t be happier. Money well spent. Wish he was here in Maine where our new house is. Positive: Responsiveness, Punctuality, Quality, Professionalism, Value Services: Window repair",""
"Bob Nussey","Aug 13, 2020",5,"I would highly recommend The Window Hospital Inc., I saved a lot of money by replacing the glass in existing windows and not having to replace the complete window. Josh is very professional and very prompt at responding to your needs, he also very quick on making the repairs. His work is excellent and gets a 5.0 rating. Positive: Responsiveness, Punctuality, Professionalism, Value Services: Window repair",""
"John Hi","Aug 12, 2020",5,"I contacted window hospital on-line for a repair on a house sale. I received immediate response and scheduling. Josh was prompt, professional and efficient. I would highly recommend them. Positive: Responsiveness, Punctuality, Quality, Professionalism, Value Services: Window repair",""
"M S","Aug 12, 2020",5,"Positive: Responsiveness, Punctuality, Quality, Professionalism Services: Window installation, Glass installation, Window repair",""
"Craig Russell","Aug 12, 2020",5,"My husband and I had Josh from the Window Hospital replace a window in our kitchen. He called and was very professional and thorough and on time!! Did a great job on the replacement. We will use Window Hospital again! We have mentioned this company to our neighbor as well. Craig Russell Positive: Responsiveness, Punctuality, Quality, Professionalism, Value Services: Window repair",""
"Peggy Morales","Aug 12, 2020",5,"Positive: Responsiveness, Punctuality, Quality, Professionalism, Value Services: Window installation, Auto side window replacement, Window repair",""
"Daniel Lawson","Aug 11, 2020",5,"After calling every other glass company in the Richmond area, and finding no one willing to replace the glass in one of my homes windows that had fogged up. I stumbled upon The window hospitals phone number. Josh was great!! I first got in contact with them at 1034am on Thurs. Josh responded almost immediately and by lunch time he had already come by the house, removed and measured the old glass from the window to get proper measurements, gave me a solid quote and a date/time to be repaired. I was blown away after dealing with guys all over Richmond literally begging them to come fix my window, I even offered these other companies extra money and payment up front bc it was holding up the sale of my house. We agreed upon the following Tuesday as an install date and everything worked out perfect to the T. I rarely give Google reviews but in a situation where one business is clearly above the rest I really thought they deserved a little love here on Google reviews. Don't beg other companies to do business with you. Call The Window Hospital Inc. and get prompt, friendly, & quality work done for a great price! Positive: Responsiveness, Punctuality, Quality, Professionalism Services: Glass installation",""
"Kathryn Toussaint","Sep 18, 2019",5,"Excellent and prompt service! The company is knowledgeable and very professional in their communication and their work. Not only are they able to fix windows but their prices are very affordable. This is your go to company for your windows.",""
